delay_event_id,raw_flight_id,delay_ts,delay_category,delay_code,delay_minutes,notes
DE0000000001,F00000011,09-10-2025 04:30,other,OPS9,19,crew swap
DE0000000002,F00000013,14-12-2024 16:31,TRAFFIC,GT3,4,ground stop
DE0000000003,F00000013,14-12-2024 16:00,weather,WX01,2,crew swap
DE0000000004,F00000013,14-12-2024 17:05,GATE,ATC7,1,maintenance check
DE0000000005,F00000020,07-05-2025 23:49,WX,MX5,9,maintenance check
DE0000000006,F00000020,05-07-2025 23:15,GATE,WX01,34,ground stop
DE0000000007,F00000021,05-02-2025 04:27,OPS,ATC7,30,gate hold
DE0000000008,F00000021,05-02-2025 03:27,OTHER,ATC7,12,gate hold
DE0000000009,F00000025,29-08-2025 14:07,other,WX01,6,crew swap
DE0000000010,F00000026,2026-01-17T13:34:00,MAINT,WX01,25,ground stop
DE0000000011,F00000026,17-01-2026 14:29,AIRPORT,,-5,gate hold
DE0000000012,F00000032,19-06-2025 06:44,MAINT,CR02,11,ground stop
DE0000000013,F00000032,19-06-2025 06:38,MX,WX01,1,
DE0000000014,F00000036,02-07-2025 11:33,maint,GT3,7,deicing
DE0000000015,F00000036,02-07-2025 14:00,MX,GT3,14,maintenance check
DE0000000016,F00000039,12-01-2026 20:39,OTHER,ATC7,13m,crew swap
DE0000000017,F00000039,01-12-2026 18:46,MAINT,ATC7,1,crew swap
DE0000000018,F00000042,13-10-2025 15:14,ATC,GT3,6,crew swap
DE0000000019,F00000042,13-10-2025 15:39,WEATHER,ATC7,5,ground stop
DE0000000020,F00000042,13-10-2025 13:16,other,OPS9,3,crew swap
DE0000000021,F00000043,02-09-2025 00:04,crew,CR02,7,gate hold
DE0000000022,F00000047,25-02-2025 13:57,airport,GT3,0,deicing
DE0000000023,F00000047,25-02-2025 13:42,crew,,1,
DE0000000024,F00000049,24-02-2024 13:56,CRW,GT3,2,
DE0000000025,F00000049,02/24/2024 15:31,GATE,WX01,-1,crew swap
DE0000000026,F00000049,24-02-2024 15:22,ATC,GT3,7,crew swap
DE0000000027,F00000053,11-11-2024 17:39,OTHER,MX5,15,ground stop
DE0000000028,F00000053,11-11-2024 16:11,airport,,13,maintenance check
DE0000000029,F00000053,11-11-2024 17:49,MX,ATC7,2,
DE0000000030,F00000054,30-05-2025 20:03,TRAFFIC,MX5,-6,maintenance check
DE0000000031,F00000060,2024-02-10T06:16:00,weather,OPS9,30,maintenance check
DE0000000032,F00000062,05-03-2024 13:55,TRAFFIC,ATC7,17,ground stop
DE0000000033,F00000063,01/28/2026 03:46,AIRPORT,ATC7,22,ground stop
DE0000000034,F00000063,28-01-2026 01:47,MAINT,ATC7,7,ground stop
DE0000000035,F00000063,28-01-2026 04:17,ATC,,10,gate hold
DE0000000036,F00000066,29-03-2025 14:37,AIRPORT,,0,ground stop
DE0000000037,F00000066,2025-03-29T13:54:00,MAINT,OPS9,1,late inbound
DE0000000038,F00000066,2025-03-29T15:14:00,GATE,WX01,1,gate hold
DE0000000039,F00000068,05-01-2025 15:36,airport,,2,crew swap
DE0000000040,F00000068,05-01-2025 14:47,WX,GT3,2,
DE0000000041,F00000073,09-07-2024 20:17,maint,ATC7,0,deicing
DE0000000042,F00000073,07-09-2024 21:16,atc,MX5,2,ground stop
DE0000000043,F00000075,06/19/2024 16:59,crew,,23,gate hold
DE0000000044,F00000098,02/25/2024 04:45,MX,,49,maintenance check
DE0000000045,F00000098,25-02-2024 04:17,MAINT,WX01,6,
DE0000000046,F00000103,2025-06-02T13:57:00,CREW,ATC7,17,late inbound
DE0000000047,F00000103,06-02-2025 14:03,weather,CR02,11,deicing
DE0000000048,F00000117,11-05-2025 01:27,ATC,ATC7,3,late inbound
DE0000000049,F00000117,05-11-2025 01:49,TRAFFIC,,3,gate hold
DE0000000050,F00000118,02-08-2025 21:47,WEATHER,WX01,51,gate hold
